fold,model,bucket,turbine,n,mae,rmse,bias
2025-12,blend_extra_trees_live,1-24,all,1474,0.19819836031665675,0.26800051578473727,-0.05763153146697237
2025-12,blend_extra_trees_live,1-24,turbine_1,740,0.1966612669825106,0.26617561643459753,-0.06020577272076177
2025-12,blend_extra_trees_live,1-24,turbine_2,734,0.1997480184464499,0.2698278389534667,-0.05503624736914656
2025-12,blend_extra_trees_live,25-48,all,1426,0.21272336875750167,0.2923856339589629,-0.06694504443357627
2025-12,blend_extra_trees_live,25-48,turbine_1,716,0.21163518636409892,0.29135061046739835,-0.06953488953959074
2025-12,blend_extra_trees_live,25-48,turbine_2,710,0.21382074705845427,0.2934257068221128,-0.06433331331258141
2025-12,blend_extra_trees_weather,1-24,all,1474,0.1977501551300822,0.27179236217989766,-0.05610985375610652
2025-12,blend_extra_trees_weather,1-24,turbine_1,740,0.19617364149017463,0.269896568596673,-0.05880598893668962
2025-12,blend_extra_trees_weather,1-24,turbine_2,734,0.19933955580246862,0.2736903598317296,-0.053391679323366054
2025-12,blend_extra_trees_weather,25-48,all,1426,0.2132926983681079,0.2952093581168798,-0.06615045677746191
2025-12,blend_extra_trees_weather,25-48,turbine_1,716,0.21258230526082028,0.294770107261537,-0.06909892872267087
2025-12,blend_extra_trees_weather,25-48,turbine_2,710,0.21400909479742908,0.2956516600596101,-0.06317706816792723
2025-12,blend_hist_mae_live,1-24,all,1474,0.19543741504969595,0.2722416010735504,-0.06187275808083461
2025-12,blend_hist_mae_live,1-24,turbine_1,740,0.1937246229099825,0.27009185779379485,-0.06370535753380166
2025-12,blend_hist_mae_live,1-24,turbine_2,734,0.19716420821507466,0.27439186831823087,-0.06002517825086781
2025-12,blend_hist_mae_live,25-48,all,1426,0.2089557020450454,0.2983521474332744,-0.07683303213397517
2025-12,blend_hist_mae_live,25-48,turbine_1,716,0.20820492361614723,0.2971435729156438,-0.07894816995565937
2025-12,blend_hist_mae_live,25-48,turbine_2,710,0.209712825080385,0.2995659974211063,-0.07470001990816404
2025-12,blend_hist_mae_weather,1-24,all,1474,0.1952683820029221,0.27445347910903567,-0.06120963572638485
2025-12,blend_hist_mae_weather,1-24,turbine_1,740,0.19364053582973412,0.27292662446799026,-0.06400932362899617
2025-12,blend_hist_mae_weather,1-24,turbine_2,734,0.1969095348205776,0.2759842639585814,-0.05838706209159959
2025-12,blend_hist_mae_weather,25-48,all,1426,0.21079540873637534,0.29847504905386335,-0.07345069734939601
2025-12,blend_hist_mae_weather,25-48,turbine_1,716,0.21019617307979888,0.2983322046619491,-0.07657157343151519
2025-12,blend_hist_mae_weather,25-48,turbine_2,710,0.2113997083562468,0.2986190313832977,-0.07030344766658288
2025-12,blend_hist_mse_live,1-24,all,1474,0.19946908521396126,0.27093969445123295,-0.060093112183094564
2025-12,blend_hist_mse_live,1-24,turbine_1,740,0.19733233282848844,0.26824278728080203,-0.06155994009931724
2025-12,blend_hist_mse_live,1-24,turbine_2,734,0.20162330424018726,0.2736317410529884,-0.05861429384793817
2025-12,blend_hist_mse_live,25-48,all,1426,0.20991964275713249,0.2912776091939769,-0.070638396984783
2025-12,blend_hist_mse_live,25-48,turbine_1,716,0.20778008942654871,0.2884948756630223,-0.07123412869123316
2025-12,blend_hist_mse_live,25-48,turbine_2,710,0.2120772768200874,0.29405719157177734,-0.07003763092588397
2025-12,blend_hist_mse_weather,1-24,all,1474,0.196579233949111,0.2677524076938917,-0.05322661282929071
2025-12,blend_hist_mse_weather,1-24,turbine_1,740,0.19511042171496756,0.26610321727199227,-0.05641808648731823
2025-12,blend_hist_mse_weather,1-24,turbine_2,734,0.19806005282277062,0.26940485960969224,-0.050009050830734335
2025-12,blend_hist_mse_weather,25-48,all,1426,0.21150275890089004,0.29191208536467134,-0.06321231123562811
2025-12,blend_hist_mse_weather,25-48,turbine_1,716,0.21115863759951906,0.2917228877219878,-0.06659030576147226
2025-12,blend_hist_mse_weather,25-48,turbine_2,710,0.21184978826959652,0.2921027577578827,-0.05980577027717117
2025-12,blend_knn_live,1-24,all,1474,0.20202184972491205,0.27237939942889733,-0.06679872717373554
2025-12,blend_knn_live,1-24,turbine_1,740,0.2007253265051531,0.2702934864544644,-0.06901606649684232
2025-12,blend_knn_live,1-24,turbine_2,734,0.20332897122712132,0.27446631632056134,-0.06456326246106658
2025-12,blend_knn_live,25-48,all,1426,0.2167735450757144,0.29947077962206153,-0.08460897950980219
2025-12,blend_knn_live,25-48,turbine_1,716,0.21613641933935615,0.298311875403233,-0.08569510310452326
2025-12,blend_knn_live,25-48,turbine_2,710,0.21741605497322497,0.30063495323509887,-0.08351367740582995
2025-12,blend_knn_weather,1-24,all,1474,0.20167772111387056,0.277321040489693,-0.06667340286435407
2025-12,blend_knn_weather,1-24,turbine_1,740,0.19989692239221044,0.27468340842781896,-0.06735738212356582
2025-12,blend_knn_weather,1-24,turbine_2,734,0.20347307677330992,0.2799550783836348,-0.06598383249403157
2025-12,blend_knn_weather,25-48,all,1426,0.21483579742325531,0.2972826154932349,-0.07661254451345348
2025-12,blend_knn_weather,25-48,turbine_1,716,0.21427518664518888,0.2962644507320365,-0.07761544490014312
2025-12,blend_knn_weather,25-48,turbine_2,710,0.2154011457571927,0.2983058651528647,-0.07560116891222844
2025-12,blend_neural_live,1-24,all,1474,0.19689949728957715,0.2635166095630093,-0.03602938373577743
2025-12,blend_neural_live,1-24,turbine_1,740,0.19527506135441042,0.2614738976750384,-0.03995445571174012
2025-12,blend_neural_live,1-24,turbine_2,734,0.19853721199260632,0.26556011393634565,-0.03207222670279052
2025-12,blend_neural_live,25-48,all,1426,0.20847355580722357,0.28791805643703344,-0.05019968771839908
2025-12,blend_neural_live,25-48,turbine_1,716,0.2074346040245743,0.28695941450372986,-0.05420514819450646
2025-12,blend_neural_live,25-48,turbine_2,710,0.20952128746409232,0.28888157793406916,-0.04616037828052181
2025-12,blend_neural_weather,1-24,all,1474,0.20029547528916775,0.27321271345934917,-0.048804983536533494
2025-12,blend_neural_weather,1-24,turbine_1,740,0.19848290945226388,0.27109335405611945,-0.05238070703808873
2025-12,blend_neural_weather,1-24,turbine_2,734,0.20212285774054226,0.2753328835954758,-0.045200030687554106
