fold,model,bucket,turbine,n,mae,rmse,bias
2025-07,blend_direct_0.5,1-24,all,1472,0.1663420528845487,0.24241395101942573,-0.03863120107706977
2025-07,blend_direct_0.5,1-24,turbine_1,736,0.166657610301783,0.240626983260367,-0.04238530703731688
2025-07,blend_direct_0.5,1-24,turbine_2,736,0.1660264954673144,0.24418784209028943,-0.03487709511682266
2025-07,blend_direct_0.5,25-48,all,1472,0.16701131884175063,0.24355694693747043,-0.05035831226767285
2025-07,blend_direct_0.5,25-48,turbine_1,736,0.16795192784499924,0.24350390508299657,-0.053398376999269
2025-07,blend_direct_0.5,25-48,turbine_2,736,0.16607070983850206,0.24360997724299918,-0.04731824753607668
2025-07,curve,1-24,all,1472,0.16468030168153588,0.24959538847121854,-0.05867744970848736
2025-07,curve,1-24,turbine_1,736,0.16423050047173415,0.24909976035459577,-0.055290134002169984
2025-07,curve,1-24,turbine_2,736,0.16513010289133762,0.2500900343545899,-0.06206476541480475
2025-07,curve,25-48,all,1472,0.16411908038192544,0.24903123057967666,-0.07120065986143265
2025-07,curve,25-48,turbine_1,736,0.16418115392436164,0.24886930857849854,-0.06794152302027713
2025-07,curve,25-48,turbine_2,736,0.16405700683948918,0.24919304736632653,-0.07445979670258815
2025-07,direct_median,1-24,all,1472,0.1733716825181159,0.24189473721377136,-0.018584952445652173
2025-07,direct_median,1-24,turbine_1,736,0.17448808876811592,0.24018716170980364,-0.02948048007246377
2025-07,direct_median,1-24,turbine_2,736,0.17225527626811593,0.24359034285707565,-0.007689424818840585
2025-07,direct_median,25-48,all,1472,0.17569893568840583,0.24442619432071658,-0.029515964673913046
2025-07,direct_median,25-48,turbine_1,736,0.1774506114130435,0.2456275440635726,-0.03885523097826087
2025-07,direct_median,25-48,turbine_2,736,0.1739472599637681,0.24321891073170093,-0.02017669836956522
2025-07,kernel_blend_0.5,1-24,all,1472,0.16662831448925677,0.24343532882873958,-0.039640876899518875
2025-07,kernel_blend_0.5,1-24,turbine_1,736,0.16700246246671804,0.242018684348544,-0.04347109553394388
2025-07,kernel_blend_0.5,1-24,turbine_2,736,0.16625416651179548,0.2448437768662152,-0.035810658265093866
2025-07,kernel_blend_0.5,25-48,all,1472,0.16638843919356353,0.24342143392321774,-0.05156350736280122
2025-07,kernel_blend_0.5,25-48,turbine_1,736,0.16734028529435782,0.24360135847531875,-0.0551570494213225
2025-07,kernel_blend_0.5,25-48,turbine_2,736,0.16543659309276923,0.24324137628177114,-0.04796996530427992
2025-07,kernel_q0.4,1-24,all,1472,0.17902183814938474,0.25940272348393456,-0.09301513793890538
2025-07,kernel_q0.4,1-24,turbine_1,736,0.18071215802035398,0.2637916474492291,-0.10070604224855798
2025-07,kernel_q0.4,1-24,turbine_2,736,0.1773315182784155,0.25493825259812775,-0.08532423362925279
2025-07,kernel_q0.4,25-48,all,1472,0.17717047133812389,0.2610194660290388,-0.09989047833725895
2025-07,kernel_q0.4,25-48,turbine_1,736,0.1799402477944011,0.2664109700253426,-0.1068118444172461
2025-07,kernel_q0.4,25-48,turbine_2,736,0.1744006948818467,0.25551422336599017,-0.09296911225727181
2025-07,kernel_q0.6,1-24,all,1472,0.18954736626904178,0.24455730342768678,0.046402083901895416
2025-07,kernel_q0.6,1-24,turbine_1,736,0.1894976362366198,0.2407702920399475,0.0361041480336936
2025-07,kernel_q0.6,1-24,turbine_2,736,0.1895970963014637,0.2482865598268294,0.05670001977009724
2025-07,kernel_q0.6,25-48,all,1472,0.18985138194454038,0.24100206223866041,0.035574427161303164
2025-07,kernel_q0.6,25-48,turbine_1,736,0.19019736320687308,0.23943276447183914,0.02603020385096651
2025-07,kernel_q0.6,25-48,turbine_2,736,0.18950540068220767,0.24256120733527672,0.04511865047163981
2025-08,blend_direct_0.5,1-24,all,1234,0.17073443508519634,0.23395223357255315,-0.055370603154363374
2025-08,blend_direct_0.5,1-24,turbine_1,617,0.1726292478083278,0.23548067000409426,-0.05842532748260062
2025-08,blend_direct_0.5,1-24,turbine_2,617,0.16883962236206485,0.2324137458103453,-0.052315878826126136
2025-08,blend_direct_0.5,25-48,all,1234,0.1886392979296059,0.2640005122534674,-0.06360973367000515
2025-08,blend_direct_0.5,25-48,turbine_1,617,0.1905581111968964,0.2648438496147596,-0.06595478787489846
2025-08,blend_direct_0.5,25-48,turbine_2,617,0.18672048466231547,0.2631544722428653,-0.06126467946511187
2025-08,curve,1-24,all,1234,0.1709597464402999,0.2378992601149657,-0.0677345747582135
2025-08,curve,1-24,turbine_1,617,0.17096289435528347,0.2379823353735689,-0.06416994183716233
2025-08,curve,1-24,turbine_2,617,0.1709565985253163,0.2378161558360542,-0.07129920767926468
2025-08,curve,25-48,all,1234,0.18916939869357668,0.26908861203281614,-0.07708239278571534
2025-08,curve,25-48,turbine_1,617,0.19011514932090065,0.2697720767810645,-0.07387019163310321
2025-08,curve,25-48,turbine_2,617,0.18822364806625275,0.2684034069096857,-0.08029459393832745
2025-08,direct_median,1-24,all,1234,0.17199034305780658,0.2330852501351964,-0.04300663155051325
2025-08,direct_median,1-24,turbine_1,617,0.17569616423554835,0.23683837967973242,-0.0526807131280389
2025-08,direct_median,1-24,turbine_2,617,0.16828452188006482,0.22927069060796468,-0.03333254997298759
2025-08,direct_median,25-48,all,1234,0.18919509724473257,0.2606604268680175,-0.05013707455429498
2025-08,direct_median,25-48,turbine_1,617,0.19190642895732038,0.26164622497035755,-0.058039384116693675
2025-08,direct_median,25-48,turbine_2,617,0.1864837655321448,0.2596708863711819,-0.042234764991896274
2025-08,kernel_blend_0.5,1-24,all,1234,0.1706156660464756,0.23404485973411393,-0.05728987366649346
2025-08,kernel_blend_0.5,1-24,turbine_1,617,0.17207459940022937,0.2351112996698738,-0.05946445510894294
2025-08,kernel_blend_0.5,1-24,turbine_2,617,0.1691567326927218,0.23297353820437405,-0.055115292224043995
2025-08,kernel_blend_0.5,25-48,all,1234,0.18871786682690161,0.264171853484673,-0.06526254371172742
2025-08,kernel_blend_0.5,25-48,turbine_1,617,0.19054752288750623,0.2651276085101447,-0.06711937240951711
2025-08,kernel_blend_0.5,25-48,turbine_2,617,0.186888210766297,0.2632126280267467,-0.06340571501393774
2025-08,kernel_q0.4,1-24,all,1234,0.1894507216950804,0.2627581989718738,-0.12642272217506614
2025-08,kernel_q0.4,1-24,turbine_1,617,0.1931102176732707,0.268003729337869,-0.13281954678761848
2025-08,kernel_q0.4,1-24,turbine_2,617,0.18579122571689008,0.2574057950297155,-0.12002589756251378
2025-08,kernel_q0.4,25-48,all,1234,0.199245730676809,0.2820144706657608,-0.12780600837912875
2025-08,kernel_q0.4,25-48,turbine_1,617,0.2033305948097321,0.28627271463953863,-0.13401525055320468
2025-08,kernel_q0.4,25-48,turbine_2,617,0.1951608665438859,0.27769093644317555,-0.12159676620505284
2025-08,kernel_q0.6,1-24,all,1234,0.17505886276354124,0.22735616974263398,0.015212348854757347
2025-08,kernel_q0.6,1-24,turbine_1,617,0.17695529673251273,0.22796368052722002,0.007068667055278567
2025-08,kernel_q0.6,1-24,turbine_2,617,0.17316242879456972,0.22674703129383275,0.023356030654236127
2025-08,kernel_q0.6,25-48,all,1234,0.1944719419284337,0.25606073873141777,0.006998884124476619
2025-08,kernel_q0.6,25-48,turbine_1,617,0.1960568969494501,0.2559079746391185,-0.00023553162976736177
2025-08,kernel_q0.6,25-48,turbine_2,617,0.19288698690741737,0.256213411740024,0.014233299878720603
2025-09,blend_direct_0.5,1-24,all,1438,0.165713042272298,0.24180819558978678,-0.09225632810852707
2025-09,blend_direct_0.5,1-24,turbine_1,719,0.16624644754645915,0.241949769291832,-0.09442200216081233
2025-09,blend_direct_0.5,1-24,turbine_2,719,0.16517963699813687,0.24166653895069223,-0.09009065405624182
2025-09,blend_direct_0.5,25-48,all,1438,0.17994118380109986,0.2513863262159024,-0.07688846715870573
2025-09,blend_direct_0.5,25-48,turbine_1,719,0.18070185938741976,0.25165633902361395,-0.07944206710657806
2025-09,blend_direct_0.5,25-48,turbine_2,719,0.1791805082147799,0.2511160230767604,-0.0743348672108334
2025-09,curve,1-24,all,1438,0.16887624504072113,0.24829497437727277,-0.1043313975244255
2025-09,curve,1-24,turbine_1,719,0.16828877877320944,0.24713580804564292,-0.10195186245792509
2025-09,curve,1-24,turbine_2,719,0.16946371130823282,0.2494487542234842,-0.1067109325909259
2025-09,curve,25-48,all,1438,0.18125698922253422,0.256140188294515,-0.08863394637118986
2025-09,curve,25-48,turbine_1,719,0.18076825761067009,0.2553166784640042,-0.08610868219646627
2025-09,curve,25-48,turbine_2,719,0.18174572083439838,0.25696105895097704,-0.09115921054591346
2025-09,direct_median,1-24,all,1438,0.16469822670375522,0.2373474299088854,-0.08018125869262867
2025-09,direct_median,1-24,turbine_1,719,0.16667651831247102,0.239177030144947,-0.08689214186369959
2025-09,direct_median,1-24,turbine_2,719,0.16271993509503943,0.23550361615004908,-0.07347037552155773
2025-09,direct_median,25-48,all,1438,0.1807402294853964,0.24919624523247072,-0.0651429879462216
2025-09,direct_median,25-48,turbine_1,719,0.1832241307371349,0.2512379527231158,-0.07277545201668986
2025-09,direct_median,25-48,turbine_2,719,0.17825632823365786,0.24713767091930927,-0.05751052387575337
2025-09,kernel_blend_0.5,1-24,all,1438,0.1669252597317195,0.24285620412806588,-0.09409993096087849
2025-09,kernel_blend_0.5,1-24,turbine_1,719,0.16769054102707304,0.24310814857784446,-0.09632937598188078
2025-09,kernel_blend_0.5,1-24,turbine_2,719,0.16615997843636598,0.24260399803391178,-0.09187048593987619
2025-09,kernel_blend_0.5,25-48,all,1438,0.18073669201412143,0.251693725108885,-0.0792639828301595
2025-09,kernel_blend_0.5,25-48,turbine_1,719,0.1818285678605642,0.25210628508529964,-0.08177440714837492
2025-09,kernel_blend_0.5,25-48,turbine_2,719,0.1796448161676787,0.2512804877798186,-0.07675355851194408
2025-09,kernel_q0.4,1-24,all,1438,0.1981760867876913,0.2881771132869609,-0.15875389466940215
2025-09,kernel_q0.4,1-24,turbine_1,719,0.20095666146750218,0.292463178207829,-0.1645978187594801
2025-09,kernel_q0.4,1-24,turbine_2,719,0.19539551210788045,0.28382633182526845,-0.15290997057932423
2025-09,kernel_q0.4,25-48,all,1438,0.2061447207700672,0.28663494089998043,-0.14732804833895558
