fold,model,bucket,turbine,n,mae,rmse,bias
2026-01,catboost_original,1-24,all,1488,0.20203694728716567,0.24909820969044214,0.07101404656758857
2026-01,catboost_original,1-24,turbine_1,744,0.20027083650270375,0.24722324001688878,0.06878965204321856
2026-01,catboost_original,1-24,turbine_2,744,0.20380305807162752,0.25095917145527624,0.0732384410919586
2026-01,catboost_original,25-48,all,1440,0.21565528812976867,0.2631364348682505,0.07161887424808423
2026-01,catboost_original,25-48,turbine_1,720,0.21407089752457725,0.2614645655224128,0.06926423371494078
2026-01,catboost_original,25-48,turbine_2,720,0.2172396787349601,0.2647977486432275,0.0739735147812277
2026-01,curve,1-24,all,1488,0.1578482003802532,0.23752845589939953,-0.08075653391786433
2026-01,curve,1-24,turbine_1,744,0.157040768558271,0.23596565307866724,-0.08044447786179673
2026-01,curve,1-24,turbine_2,744,0.15865563220223539,0.2390810433536378,-0.08106858997393193
2026-01,curve,25-48,all,1440,0.17623531729487546,0.25557496531906043,-0.07760794383522623
2026-01,curve,25-48,turbine_1,720,0.17553448569370012,0.2543692388179128,-0.07733776467748965
2026-01,curve,25-48,turbine_2,720,0.17693614889605083,0.2567750302090792,-0.07787812299296282
2026-01,persistence,1-24,all,1488,0.3108008512544803,0.4458388875981358,0.013959453405017934
2026-01,persistence,1-24,turbine_1,744,0.31063396057347664,0.4451110410437157,0.014746863799283165
2026-01,persistence,1-24,turbine_2,744,0.3109677419354839,0.44656554785436137,0.013172043010752688
2026-01,persistence,25-48,all,1440,0.35793749999999996,0.4693332585292975,0.019692129629629643
2026-01,persistence,25-48,turbine_1,720,0.3605115740740741,0.4719873885046161,0.020349537037037038
2026-01,persistence,25-48,turbine_2,720,0.35536342592592585,0.46666403355738634,0.019034722222222227
