fold,model,bucket,turbine,n,mae,rmse,bias
2025-10,calibrated_curve,1-24,all,1374,0.14391321482262232,0.21068573517472425,-0.0633835226495143
2025-10,calibrated_curve,1-24,turbine_1,687,0.14483607554650474,0.21152197931680466,-0.06416535519432331
2025-10,calibrated_curve,1-24,turbine_2,687,0.1429903540987399,0.20984615859750524,-0.06260169010470529
2025-10,calibrated_curve,25-48,all,1374,0.16250296094375508,0.23371175466847036,-0.05570634617016788
2025-10,calibrated_curve,25-48,turbine_1,687,0.1636484860246106,0.23487325347262766,-0.056523527250323106
2025-10,calibrated_curve,25-48,turbine_2,687,0.16135743586289958,0.2325444545535613,-0.05488916509001264
2025-10,catboost_original,1-24,all,1374,0.2096479517203514,0.27465586544990894,-0.054703000530937754
2025-10,catboost_original,1-24,turbine_1,687,0.20866022528079062,0.27444815658191796,-0.05516657700391249
2025-10,catboost_original,1-24,turbine_2,687,0.21063567815991224,0.2748634173564463,-0.05423942405796303
2025-10,catboost_original,25-48,all,1374,0.22079913877536725,0.2913031937402135,-0.0639102943586828
2025-10,catboost_original,25-48,turbine_1,687,0.2199163170209319,0.2910553414920717,-0.06442339468926005
2025-10,catboost_original,25-48,turbine_2,687,0.22168196052980263,0.2915508352850842,-0.06339719402810558
2025-10,curve,1-24,all,1374,0.15730262296751898,0.23634036900387087,-0.11410782132999887
2025-10,curve,1-24,turbine_1,687,0.15699176839006812,0.23515551214146443,-0.1123623184919363
2025-10,curve,1-24,turbine_2,687,0.1576134775449698,0.23751931532247486,-0.11585332416806145
2025-10,curve,25-48,all,1374,0.1732485342243112,0.2543635330291593,-0.10824310642850456
2025-10,curve,25-48,turbine_1,687,0.17332557640499094,0.25395486846966153,-0.10638693226920733
2025-10,curve,25-48,turbine_2,687,0.17317149204363141,0.2547715420738929,-0.11009928058780179
2025-10,direct_mean,1-24,all,1374,0.15544131098132705,0.2075642160614002,-0.02392530593026554
2025-10,direct_mean,1-24,turbine_1,687,0.15585602925655379,0.20796097078287193,-0.02405873464966739
2025-10,direct_mean,1-24,turbine_2,687,0.15502659270610034,0.20716670149764108,-0.023791877210863687
2025-10,direct_mean,25-48,all,1374,0.1727909264738824,0.2309457133673124,-0.01513650421399164
2025-10,direct_mean,25-48,turbine_1,687,0.17347398721089818,0.23192521651834155,-0.01517320389470966
2025-10,direct_mean,25-48,turbine_2,687,0.1721078657368666,0.2299620381462863,-0.015099804533273612
2025-10,direct_median,1-24,all,1374,0.14043545608927707,0.21213201653676972,-0.06698043425521591
2025-10,direct_median,1-24,turbine_1,687,0.14184395924308588,0.21299700682759787,-0.06617826297913634
2025-10,direct_median,1-24,turbine_2,687,0.1390269529354682,0.2112634846877162,-0.06778260553129548
2025-10,direct_median,25-48,all,1374,0.1594289180009704,0.23901612613648326,-0.05731475012130035
2025-10,direct_median,25-48,turbine_1,687,0.16158626880155263,0.24085940449587942,-0.05650262008733624
2025-10,direct_median,25-48,turbine_2,687,0.15727156720038815,0.2371585216104893,-0.05812688015526443
2025-10,mae4,1-24,all,1374,0.16025787208445097,0.23490937095111608,-0.10837379736770943
2025-10,mae4,1-24,turbine_1,687,0.16094948102326997,0.23581786091702214,-0.10912228536398634
2025-10,mae4,1-24,turbine_2,687,0.15956626314563194,0.2339973538179826,-0.10762530937143255
2025-10,mae4,25-48,all,1374,0.1767271615426797,0.2547975769384387,-0.10053713632081267
2025-10,mae4,25-48,turbine_1,687,0.17781141874380282,0.25629101113117303,-0.10128678390935242
2025-10,mae4,25-48,turbine_2,687,0.17564290434155658,0.25329533758196204,-0.09978748873227289
2025-10,mae6,1-24,all,1374,0.16948409435288278,0.24557150907407108,-0.10397797681739092
2025-10,mae6,1-24,turbine_1,687,0.170062933729159,0.24632511018744782,-0.10444911912144686
2025-10,mae6,1-24,turbine_2,687,0.16890525497660655,0.2448155882066639,-0.10350683451333503
2025-10,mae6,25-48,all,1374,0.18499291047849728,0.26320281757512326,-0.09720195688608382
2025-10,mae6,25-48,turbine_1,687,0.18575731973894888,0.2642903518409201,-0.09767027224538694
2025-10,mae6,25-48,turbine_2,687,0.18422850121804568,0.26211077101632035,-0.09673364152678075
2025-10,median_curve,1-24,all,1374,0.15554862930616206,0.23394469388386993,-0.1103861838913149
2025-10,median_curve,1-24,turbine_1,687,0.15480388161086853,0.23236373564150337,-0.10796496846191171
2025-10,median_curve,1-24,turbine_2,687,0.1562933770014556,0.23551503975661667,-0.1128073993207181
2025-10,median_curve,25-48,all,1374,0.17200211062590975,0.2526214293883322,-0.10452455118874333
2025-10,median_curve,25-48,turbine_1,687,0.17186074721009217,0.25194554628349997,-0.10195982532751093
2025-10,median_curve,25-48,turbine_2,687,0.1721434740417273,0.2532955090014764,-0.10708927704997574
2025-10,recent_curve,1-24,all,1374,0.15559888988429924,0.23204765472452868,-0.10608297710885094
2025-10,recent_curve,1-24,turbine_1,687,0.1551655066002856,0.2305462239800016,-0.10332712199731241
2025-10,recent_curve,1-24,turbine_2,687,0.1560322731683129,0.23353943293343646,-0.10883883222038948
2025-10,recent_curve,25-48,all,1374,0.1720206259552452,0.25072453040924353,-0.10005826904455241
2025-10,recent_curve,25-48,turbine_1,687,0.171847727674174,0.24978912934445444,-0.09701571288495263
2025-10,recent_curve,25-48,turbine_2,687,0.1721935242363164,0.25165645463450914,-0.10310082520415219
2025-10,residual,1-24,all,1374,0.15206447844489204,0.21757261139430736,-0.06994682972499239
2025-10,residual,1-24,turbine_1,687,0.15158184728450136,0.21670692479649886,-0.06820132688692981
2025-10,residual,1-24,turbine_2,687,0.15254710960528278,0.21843486718727198,-0.07169233256305495
2025-10,residual,25-48,all,1374,0.16883812000728946,0.23782469552856583,-0.06373817062517667
2025-10,residual,25-48,turbine_1,687,0.1690770548068989,0.23783692799487532,-0.06188445493663507
2025-10,residual,25-48,turbine_2,687,0.16859918520768,0.2378124624330495,-0.06559188631371828
2025-10,rmse4,1-24,all,1374,0.19292587355290902,0.23246474289291214,-0.0054091604159006365
2025-10,rmse4,1-24,turbine_1,687,0.1920804279815271,0.23215996025834296,-0.006013389865087808
2025-10,rmse4,1-24,turbine_2,687,0.19377131912429088,0.2327691264523285,-0.00480493096671344
2025-10,rmse4,25-48,all,1374,0.20519235110215694,0.24715007074368134,0.0003417050832929926
2025-10,rmse4,25-48,turbine_1,687,0.2046809981831774,0.2472571817526767,-0.00025382969630207336
2025-10,rmse4,25-48,turbine_2,687,0.20570370402113652,0.24704291329430436,0.0009372398628880534
2025-11,calibrated_curve,1-24,all,1440,0.17652045906073416,0.24569792323913794,-0.07660389599477162
2025-11,calibrated_curve,1-24,turbine_1,720,0.17766053566767656,0.2476730528700661,-0.08154869189011846
2025-11,calibrated_curve,1-24,turbine_2,720,0.1753803824537917,0.243706786631132,-0.07165910009942479
