fold,model,dimension,regime,n,mae,bias
2025-10,calibrated_curve,wind_regime,4to8,586,0.22621209043403082,-0.04981813294498757
2025-10,calibrated_curve,wind_regime,8to12,140,0.2375157536242952,-0.05748147250533014
2025-10,calibrated_curve,wind_regime,above12,14,0.029619243535630762,0.016751037693861864
2025-10,calibrated_curve,wind_regime,below4,634,0.08998723726415964,-0.062356785660908194
2025-10,catboost_original,wind_regime,4to8,586,0.24485101214498223,-0.10344396955995877
2025-10,catboost_original,wind_regime,8to12,140,0.44239163497788914,-0.3622457432472103
2025-10,catboost_original,wind_regime,above12,14,0.5748620744851679,-0.5748620744851679
2025-10,catboost_original,wind_regime,below4,634,0.14181770602633775,0.04979163219354485
2025-10,curve,wind_regime,4to8,586,0.2389125240674905,-0.13154218578298274
2025-10,curve,wind_regime,8to12,140,0.27890960431703155,-0.13031132288301153
2025-10,curve,wind_regime,above12,14,0.02968421759116176,0.01588192611303388
2025-10,curve,wind_regime,below4,634,0.09239404301260784,-0.08457581881056503
2025-10,direct_mean,wind_regime,4to8,586,0.23283743358608816,-0.029495670601821615
2025-10,direct_mean,wind_regime,8to12,140,0.21850230985280267,-0.016232208230799124
2025-10,direct_mean,wind_regime,above12,14,0.06544372294372294,-0.0602272727272728
2025-10,direct_mean,wind_regime,below4,634,0.1095669738060918,-0.0006268183704469477
2025-10,direct_median,wind_regime,4to8,586,0.2279936575654152,-0.07242966439135382
2025-10,direct_median,wind_regime,8to12,140,0.18723845238095232,0.0594103571428572
2025-10,direct_median,wind_regime,above12,14,0.047023809523809426,-0.027499999999999913
2025-10,direct_median,wind_regime,below4,634,0.09239642481598313,-0.06977781282860149
2025-10,mae4,wind_regime,4to8,586,0.23240984886225582,-0.12686174949032883
2025-10,mae4,wind_regime,8to12,140,0.3059619148255346,-0.1617521260909434
2025-10,mae4,wind_regime,above12,14,0.3320543404852882,-0.3320543404852882
2025-10,mae4,wind_regime,below4,634,0.09329261779809314,-0.057575680889491734
2025-10,mae6,wind_regime,4to8,586,0.2265410610848529,-0.12394986665862166
2025-10,mae6,wind_regime,8to12,140,0.3672598921849712,-0.23940936479992497
2025-10,mae6,wind_regime,above12,14,0.48312961112985076,-0.48312961112985076
2025-10,mae6,wind_regime,below4,634,0.09975867151422319,-0.032554796958548106
2025-10,median_curve,wind_regime,4to8,586,0.23740949943117176,-0.12532406143344713
2025-10,median_curve,wind_regime,8to12,140,0.2729722619047618,-0.11978988095238088
2025-10,median_curve,wind_regime,above12,14,0.031358333333333314,0.031358333333333314
2025-10,median_curve,wind_regime,below4,634,0.09235615141955833,-0.08492944269190325
2025-10,recent_curve,wind_regime,4to8,586,0.2358287507731324,-0.114188787143396
2025-10,recent_curve,wind_regime,8to12,140,0.28359358678636876,-0.13605011808276654
2025-10,recent_curve,wind_regime,above12,14,0.02995780296701345,0.02816066663773428
2025-10,recent_curve,wind_regime,below4,634,0.09154287179467108,-0.08188117539830586
2025-10,residual,wind_regime,4to8,586,0.22668320573119854,-0.08838955931965625
2025-10,residual,wind_regime,8to12,140,0.24842303270506563,-0.08554110238283803
2025-10,residual,wind_regime,above12,14,0.043126619832095814,0.043012578741987204
2025-10,residual,wind_regime,below4,634,0.1005744811911274,-0.0384958776758118
2025-10,rmse4,wind_regime,4to8,586,0.23562460770687724,-0.03541222039641966
2025-10,rmse4,wind_regime,8to12,140,0.29924119389777326,-0.16409401237854299
2025-10,rmse4,wind_regime,above12,14,0.30800915619935626,-0.30800915619935626
2025-10,rmse4,wind_regime,below4,634,0.1540258280215368,0.0765084445686648
2025-11,calibrated_curve,wind_regime,4to8,730,0.2445083297658336,-0.11304125173710676
2025-11,calibrated_curve,wind_regime,8to12,214,0.18514654089951896,-0.09728559329158946
2025-11,calibrated_curve,wind_regime,above12,42,0.03701835723257001,0.004810059316103695
2025-11,calibrated_curve,wind_regime,below4,454,0.07834300433055974,-0.02969360691384685
2025-11,catboost_original,wind_regime,4to8,730,0.29936788772044515,-0.2450398922214422
2025-11,catboost_original,wind_regime,8to12,214,0.607820269275807,-0.6028493577360519
2025-11,catboost_original,wind_regime,above12,42,0.8084653015778018,-0.8084653015778018
2025-11,catboost_original,wind_regime,below4,454,0.08539215866579189,-0.03544159389417854
2025-11,curve,wind_regime,4to8,730,0.2641308837530206,-0.20229085159966276
2025-11,curve,wind_regime,8to12,214,0.22731756435836142,-0.15765339445558063
2025-11,curve,wind_regime,above12,42,0.03887889310252836,0.002223365807143874
2025-11,curve,wind_regime,below4,454,0.07551390606862882,-0.060306652421494564
2025-11,direct_mean,wind_regime,4to8,730,0.2425676435145839,-0.08326261548063753
2025-11,direct_mean,wind_regime,8to12,214,0.16656878642144007,-0.08178622147162522
2025-11,direct_mean,wind_regime,above12,42,0.168831746031746,-0.1567206349206349
2025-11,direct_mean,wind_regime,below4,454,0.1056808577789026,0.030449933996041633
2025-11,direct_median,wind_regime,4to8,730,0.23845600456621002,-0.11554221461187214
2025-11,direct_median,wind_regime,8to12,214,0.10864641744548281,0.020795638629283516
2025-11,direct_median,wind_regime,above12,42,0.06501587301587303,-0.033571428571428585
2025-11,direct_median,wind_regime,below4,454,0.07578630690161522,-0.041914280469897224
