fold,model,dimension,regime,n,mae,bias
2025-11,mae4,wind_regime,4to8,730,0.2719719404473538,-0.19876069074299713
2025-11,mae4,wind_regime,8to12,214,0.538242289295958,-0.5355531029811588
2025-11,mae4,wind_regime,above12,42,0.5873131501416048,-0.5873131501416048
2025-11,mae4,wind_regime,below4,454,0.10905721838671338,0.027145041553520047
2025-11,mae6,wind_regime,4to8,730,0.26046807230497515,-0.17648752148249158
2025-11,mae6,wind_regime,8to12,214,0.4010504754316198,-0.38906974939065747
2025-11,mae6,wind_regime,above12,42,0.4928572132651156,-0.4928572132651156
2025-11,mae6,wind_regime,below4,454,0.09445964507608964,0.007162081320546333
2025-11,median_curve,wind_regime,4to8,730,0.2619450684931507,-0.19615940639269408
2025-11,median_curve,wind_regime,8to12,214,0.2198353582554517,-0.14476464174454826
2025-11,median_curve,wind_regime,above12,42,0.024806349206349183,0.020619047619047624
2025-11,median_curve,wind_regime,below4,454,0.07546593245227604,-0.06006035242290749
2025-11,recent_curve,wind_regime,4to8,730,0.26119463470268645,-0.19292105804724763
2025-11,recent_curve,wind_regime,8to12,214,0.22632119715904012,-0.15565578054198348
2025-11,recent_curve,wind_regime,above12,42,0.028242358981226862,0.015390638325222592
2025-11,recent_curve,wind_regime,below4,454,0.07557436947271505,-0.060526132592173175
2025-11,residual,wind_regime,4to8,730,0.25217538487978813,-0.15912645043054535
2025-11,residual,wind_regime,8to12,214,0.20139479216855016,-0.11399455346636145
2025-11,residual,wind_regime,above12,42,0.041032404182371966,0.041032404182371966
2025-11,residual,wind_regime,below4,454,0.08392370969217525,-0.021168237734770674
2025-11,rmse4,wind_regime,4to8,730,0.2546589331235943,-0.13327814478837227
2025-11,rmse4,wind_regime,8to12,214,0.3945713646305031,-0.37415579552605
2025-11,rmse4,wind_regime,above12,42,0.43081820053651687,-0.43081820053651687
2025-11,rmse4,wind_regime,below4,454,0.14111070564899103,0.07754710087664661
2025-12,calibrated_curve,wind_regime,4to8,716,0.2527507142188978,-0.06540453273839691
2025-12,calibrated_curve,wind_regime,8to12,307,0.18932197693848313,0.062324168839285515
2025-12,calibrated_curve,wind_regime,above12,29,0.028246516007214898,0.004468075712520685
2025-12,calibrated_curve,wind_regime,below4,422,0.15984077519156717,-0.12306015600753965
2025-12,catboost_original,wind_regime,4to8,716,0.2580584290922534,-0.13893756118059572
2025-12,catboost_original,wind_regime,8to12,307,0.288437447500211,-0.10031405381855683
2025-12,catboost_original,wind_regime,above12,29,0.23660575718305618,-0.23660575718305618
2025-12,catboost_original,wind_regime,below4,422,0.16694007275323694,-0.12561628908628028
2025-12,curve,wind_regime,4to8,716,0.27770496672473965,-0.18390597420021687
2025-12,curve,wind_regime,8to12,307,0.21549501988131528,-0.03873547606919145
2025-12,curve,wind_regime,above12,29,0.031039320387587492,-0.00022840174404139456
2025-12,curve,wind_regime,below4,422,0.1628492187726866,-0.15257318264543124
2025-12,direct_mean,wind_regime,4to8,716,0.2515900045187293,-0.029016855049070086
2025-12,direct_mean,wind_regime,8to12,307,0.21248678365862642,0.06752231813914966
2025-12,direct_mean,wind_regime,above12,29,0.06957670444498025,-0.04534688369102158
2025-12,direct_mean,wind_regime,below4,422,0.16801027139724403,-0.06949222267767913
2025-12,direct_median,wind_regime,4to8,716,0.2475615456238361,-0.061510614525139666
2025-12,direct_median,wind_regime,8to12,307,0.19315412595005424,0.16564543973941367
2025-12,direct_median,wind_regime,above12,29,0.021727011494252848,0.01790057471264368
2025-12,direct_median,wind_regime,below4,422,0.16035754344391778,-0.13841433649289103
2025-12,mae4,wind_regime,4to8,716,0.2480374630240121,-0.07176286268706525
2025-12,mae4,wind_regime,8to12,307,0.21332274825604539,0.11033633274700197
2025-12,mae4,wind_regime,above12,29,0.0760810843369669,-0.052364989532520986
2025-12,mae4,wind_regime,below4,422,0.1622618021729805,-0.13045571148731827
2025-12,mae6,wind_regime,4to8,716,0.2492758328569248,-0.10863967094577971
2025-12,mae6,wind_regime,8to12,307,0.22267991745387772,0.07744927395713777
2025-12,mae6,wind_regime,above12,29,0.10922626484818271,-0.0899716975718544
2025-12,mae6,wind_regime,below4,422,0.16575717960614786,-0.1534782514261904
2025-12,median_curve,wind_regime,4to8,716,0.27578594040968335,-0.17781405959031657
2025-12,median_curve,wind_regime,8to12,307,0.20887937024972847,-0.026015526601520043
2025-12,median_curve,wind_regime,above12,29,0.021974712643678146,0.01715862068965517
2025-12,median_curve,wind_regime,below4,422,0.16295560821484986,-0.15272969984202212
2025-12,recent_curve,wind_regime,4to8,716,0.2763047961698251,-0.17965323365096977
2025-12,recent_curve,wind_regime,8to12,307,0.21079917852098376,-0.029571755349846348
2025-12,recent_curve,wind_regime,above12,29,0.022951822836384108,0.014232552557717307
2025-12,recent_curve,wind_regime,below4,422,0.1633394731096254,-0.15417314672782315
2025-12,residual,wind_regime,4to8,716,0.25805027864367514,-0.1219223296281295
2025-12,residual,wind_regime,8to12,307,0.19891047630941297,0.06582600554703513
2025-12,residual,wind_regime,above12,29,0.059130391592911107,-0.031159881947012476
2025-12,residual,wind_regime,below4,422,0.16592531708523028,-0.15059850468909936
2025-12,rmse4,wind_regime,4to8,716,0.2483005764448327,-0.08899433217694856
2025-12,rmse4,wind_regime,8to12,307,0.2639877979061957,-0.02836216308965357
2025-12,rmse4,wind_regime,above12,29,0.206857955223802,-0.2022010248436908
2025-12,rmse4,wind_regime,below4,422,0.1643412683656063,-0.12302522597150614
2026-01,catboost_original,wind_regime,4to8,688,0.31146874086545784,0.21964771433689545
2026-01,catboost_original,wind_regime,8to12,248,0.25375089191292816,0.02168377350510845
2026-01,catboost_original,wind_regime,below4,552,0.21668798675018935,0.15612328349283647
2026-01,curve,wind_regime,4to8,688,0.2126369751031037,-0.08233487034424122
2026-01,curve,wind_regime,8to12,248,0.2702040143393826,-0.06448040213505225
2026-01,curve,wind_regime,below4,552,0.09011381597983917,-0.0762288506562151
2026-01,direct_median,wind_regime,4to8,688,0.23180111434108525,0.058788614341085274
2026-01,direct_median,wind_regime,8to12,248,0.23470342741935477,0.1843709005376344
2026-01,direct_median,wind_regime,below4,552,0.09077518115942024,-0.06217783816425122
2026-01,persistence,wind_regime,4to8,688,0.3222117248062016,-0.08398013565891471
2026-01,persistence,wind_regime,8to12,248,0.45545026881720424,-0.23743951612903222
2026-01,persistence,wind_regime,below4,552,0.3797252415458937,0.31194746376811594
2025-10,calibrated_curve,ramp_regime,at_least_0.2,136,0.18834958049607878,-0.12246610052832561
2025-10,calibrated_curve,ramp_regime,below_0.2,1230,0.1601595016389243,-0.04820761351755099
2025-10,calibrated_curve,ramp_regime,unknown,8,0.08341729667197836,-0.07372066742133218
2025-10,catboost_original,ramp_regime,at_least_0.2,136,0.23081209493033672,-0.1712247106856254
2025-10,catboost_original,ramp_regime,below_0.2,1230,0.21967570776554976,-0.051374580944093945
2025-10,catboost_original,ramp_regime,unknown,8,0.22330640190031406,-0.16693115429369984
2025-10,curve,ramp_regime,at_least_0.2,136,0.22687008695484073,-0.19678777220821705
2025-10,curve,ramp_regime,below_0.2,1230,0.16768126996873023,-0.09839982227344368
2025-10,curve,ramp_regime,unknown,8,0.11764901710087375,-0.11638872701400149
2025-10,direct_mean,ramp_regime,at_least_0.2,136,0.17721793009518838,-0.09576038931049355
2025-10,direct_mean,ramp_regime,below_0.2,1230,0.17286787989845231,-0.006316360886350735
2025-10,direct_mean,ramp_regime,unknown,8,0.0857002758840452,-0.0006274941982498498
2025-10,direct_median,ramp_regime,at_least_0.2,136,0.20538541666666663,-0.13279129901960782
2025-10,direct_median,ramp_regime,below_0.2,1230,0.1550544986449864,-0.04909173441734418
2025-10,direct_median,ramp_regime,unknown,8,0.050735416666666616,-0.03850208333333333
2025-10,mae4,ramp_regime,at_least_0.2,136,0.2210257908988764,-0.18883453466320943
2025-10,mae4,ramp_regime,below_0.2,1230,0.1718791610239509,-0.09043865817079721
2025-10,mae4,ramp_regime,unknown,8,0.16903054224188174,-0.15212238006494122
2025-10,mae6,ramp_regime,at_least_0.2,136,0.22216343391047952,-0.19224685985576095
2025-10,mae6,ramp_regime,below_0.2,1230,0.18082382386447227,-0.086191700875672
2025-10,mae6,ramp_regime,unknown,8,0.19409107904113904,-0.1742654680023908
2025-10,median_curve,ramp_regime,at_least_0.2,136,0.2241607843137255,-0.19141617647058823
2025-10,median_curve,ramp_regime,below_0.2,1230,0.1666225745257452,-0.09486845528455284
2025-10,median_curve,ramp_regime,unknown,8,0.11240833333333329,-0.11199166666666661
2025-10,recent_curve,ramp_regime,at_least_0.2,136,0.21809049041226503,-0.18466299119214322
2025-10,recent_curve,ramp_regime,below_0.2,1230,0.16727829358906138,-0.09059644750073871
2025-10,recent_curve,ramp_regime,unknown,8,0.11796653148666297,-0.11653305489686566
2025-10,residual,ramp_regime,at_least_0.2,136,0.20165436771480033,-0.15362899112436842
2025-10,residual,ramp_regime,below_0.2,1230,0.1655478688283644,-0.05372201737899567
2025-10,residual,ramp_regime,unknown,8,0.11683802773932891,-0.07557778373924746
2025-10,rmse4,ramp_regime,at_least_0.2,136,0.18220811298860096,-0.10417860376465224
2025-10,rmse4,ramp_regime,below_0.2,1230,0.20808792812719606,0.01218498294891898
2025-10,rmse4,ramp_regime,unknown,8,0.1507294314328425,-0.04371701634163711
2025-11,calibrated_curve,ramp_regime,at_least_0.2,197,0.24823198447270298,-0.17686213895912783
2025-11,calibrated_curve,ramp_regime,below_0.2,1243,0.1659961661385963,-0.06578943234525345
2025-11,catboost_original,ramp_regime,at_least_0.2,197,0.3721360184937437,-0.35686611313462113
2025-11,catboost_original,ramp_regime,below_0.2,1243,0.2799878380677533,-0.23140167810448287
2025-11,curve,ramp_regime,at_least_0.2,197,0.2946975845709803,-0.25530083527443015
2025-11,curve,ramp_regime,below_0.2,1243,0.17644594257230486,-0.12743501397236026
2025-11,direct_mean,ramp_regime,at_least_0.2,197,0.22664605148699615,-0.14766041435008795
2025-11,direct_mean,ramp_regime,below_0.2,1243,0.17951799733053203,-0.03375129179508418
2025-11,direct_median,ramp_regime,at_least_0.2,197,0.2492231810490694,-0.16215211505922167
2025-11,direct_median,ramp_regime,below_0.2,1243,0.1491262268704746,-0.05502064896755163
2025-11,mae4,ramp_regime,at_least_0.2,197,0.3144767235485084,-0.29255039456906673
2025-11,mae4,ramp_regime,below_0.2,1243,0.26222894718452316,-0.17249762187522044
2025-11,mae6,ramp_regime,at_least_0.2,197,0.2858459460082799,-0.2591299181163913
2025-11,mae6,ramp_regime,below_0.2,1243,0.22786767898877466,-0.14360148127151834
2025-11,median_curve,ramp_regime,at_least_0.2,197,0.2917404399323181,-0.24870998307952624
2025-11,median_curve,ramp_regime,below_0.2,1243,0.17384971842316968,-0.12194813622955214
2025-11,recent_curve,ramp_regime,at_least_0.2,197,0.2904180333251654,-0.24810758090098928
2025-11,recent_curve,ramp_regime,below_0.2,1243,0.17489091695716996,-0.12236361493175191
2025-11,residual,ramp_regime,at_least_0.2,197,0.2688083832499542,-0.21277769623809123
2025-11,residual,ramp_regime,below_0.2,1243,0.17220916344487633,-0.0857014932044423
2025-11,rmse4,ramp_regime,at_least_0.2,197,0.25750428429094085,-0.21585648818955677
2025-11,rmse4,ramp_regime,below_0.2,1243,0.24277520031618005,-0.09471169621020106
2025-12,calibrated_curve,ramp_regime,at_least_0.2,216,0.26008307489047866,-0.11046212883539742
2025-12,calibrated_curve,ramp_regime,below_0.2,1250,0.2001553537703081,-0.044851586768844334
2025-12,calibrated_curve,ramp_regime,unknown,8,0.12389725083340229,0.05329575536888356
2025-12,catboost_original,ramp_regime,at_least_0.2,216,0.2824290075128659,-0.18778924277826345
2025-12,catboost_original,ramp_regime,below_0.2,1250,0.23066259513175738,-0.11890935183825463
2025-12,catboost_original,ramp_regime,unknown,8,0.1621874669146359,-0.11852288029989638
2025-12,curve,ramp_regime,at_least_0.2,216,0.2973361042705769,-0.21444891433225785
2025-12,curve,ramp_regime,below_0.2,1250,0.21549891134124,-0.1292013236858067
2025-12,curve,ramp_regime,unknown,8,0.12725002409957645,-0.01729441306502031
2025-12,direct_mean,ramp_regime,at_least_0.2,216,0.24878087011020852,-0.07365146547462761
2025-12,direct_mean,ramp_regime,below_0.2,1250,0.21068398669077615,-0.012008434397031531
2025-12,direct_mean,ramp_regime,unknown,8,0.14978668373433782,0.028970674421690556
2025-12,direct_median,ramp_regime,at_least_0.2,216,0.28118317901234563,-0.08924891975308641
2025-12,direct_median,ramp_regime,below_0.2,1250,0.19476299999999994,-0.025865160000000015
2025-12,direct_median,ramp_regime,unknown,8,0.08300416666666666,0.06612916666666666
2025-12,mae4,ramp_regime,at_least_0.2,216,0.2770394487529118,-0.10274712507415139
2025-12,mae4,ramp_regime,below_0.2,1250,0.20240739125133558,-0.041545537354727886
2025-12,mae4,ramp_regime,unknown,8,0.11449740097124483,0.005681279340756126
2025-12,mae6,ramp_regime,at_least_0.2,216,0.2886117237891233,-0.13949617824574076
2025-12,mae6,ramp_regime,below_0.2,1250,0.2054678216609199,-0.07296143665700333
2025-12,mae6,ramp_regime,unknown,8,0.09830163046123123,-0.00663853767986709
2025-12,median_curve,ramp_regime,at_least_0.2,216,0.29481003086419755,-0.20807824074074077
2025-12,median_curve,ramp_regime,below_0.2,1250,0.21306946666666662,-0.12342029333333332
2025-12,median_curve,ramp_regime,unknown,8,0.12217916666666663,-0.00446249999999998
2025-12,recent_curve,ramp_regime,at_least_0.2,216,0.29578700111050765,-0.21008728507440455
2025-12,recent_curve,ramp_regime,below_0.2,1250,0.21381315931223716,-0.125537482645366
2025-12,recent_curve,ramp_regime,unknown,8,0.12350012473596475,-0.00723264983573749
2025-12,residual,ramp_regime,at_least_0.2,216,0.2850074147564135,-0.15236685992191404
2025-12,residual,ramp_regime,below_0.2,1250,0.2041691730218424,-0.07896225974344691
2025-12,residual,ramp_regime,unknown,8,0.09896412966680851,0.008757069547230607
2025-12,rmse4,ramp_regime,at_least_0.2,216,0.2615574823833639,-0.14090162448040353
2025-12,rmse4,ramp_regime,below_0.2,1250,0.22112465700525272,-0.07921583464864586
2025-12,rmse4,ramp_regime,unknown,8,0.15951564901323764,-0.09413209863587123
2026-01,catboost_original,ramp_regime,at_least_0.2,199,0.22493113860724334,0.02691125529272993
2026-01,catboost_original,ramp_regime,below_0.2,1289,0.2731351334469389,0.18411164932338514
2026-01,curve,ramp_regime,at_least_0.2,199,0.27639478143451957,-0.21047585057790744
2026-01,curve,ramp_regime,below_0.2,1289,0.16140038738751283,-0.05650206502991316
2026-01,direct_median,ramp_regime,at_least_0.2,199,0.2598826633165829,-0.07980896147403685
2026-01,direct_median,ramp_regime,below_0.2,1289,0.1676313938453581,0.05254489268166537
2026-01,persistence,ramp_regime,at_least_0.2,199,0.3694137353433835,-0.09949748743718594
2026-01,persistence,ramp_regime,below_0.2,1289,0.3651887768295836,0.05844194465994312
