fold,model,bucket,turbine,n,mae,rmse,bias
2025-10,blend_direct_0.25,1-24,all,1374,0.1520019079475544,0.22837668587299081,-0.10232597456130314
2025-10,blend_direct_0.25,1-24,turbine_1,687,0.15199904116944013,0.22775681423039007,-0.10081630461373631
2025-10,blend_direct_0.25,1-24,turbine_2,687,0.15200477472566865,0.228994879576564,-0.10383564450886995
2025-10,blend_direct_0.25,25-48,all,1374,0.16862035344157544,0.24824978083783444,-0.0955110173517035
2025-10,blend_direct_0.25,25-48,turbine_1,687,0.16921985919587734,0.2484812919859457,-0.09391585422373958
2025-10,blend_direct_0.25,25-48,turbine_2,687,0.16802084768727357,0.24801805358695336,-0.09710618047966746
2025-10,blend_direct_0.5,1-24,all,1374,0.14731197963240308,0.2216141419900607,-0.0905441277926074
2025-10,blend_direct_0.5,1-24,turbine_1,687,0.14765205178179353,0.2215320562480683,-0.08927029073553633
2025-10,blend_direct_0.5,1-24,turbine_2,687,0.14697190748301267,0.22169619733880022,-0.09181796484967847
2025-10,blend_direct_0.5,25-48,all,1374,0.16465498191756284,0.2436014221483957,-0.08277892827490245
2025-10,blend_direct_0.5,25-48,turbine_1,687,0.16576419264440506,0.24443051051093534,-0.0814447761782718
2025-10,blend_direct_0.5,25-48,turbine_2,687,0.16354577119072064,0.2427695023614072,-0.0841130803715331
2025-10,blend_direct_0.75,1-24,all,1374,0.14327190927617717,0.2161654964601566,-0.07876228102391165
2025-10,blend_direct_0.75,1-24,turbine_1,687,0.1441266600924724,0.2165824818443936,-0.07772427685733634
2025-10,blend_direct_0.75,1-24,turbine_2,687,0.14241715845988195,0.2157477051508425,-0.07980028519048697
2025-10,blend_direct_0.75,25-48,all,1374,0.16146768438282724,0.2405034396742391,-0.0700468391981014
2025-10,blend_direct_0.75,25-48,turbine_1,687,0.1631433786503863,0.241874019324809,-0.06897369813280402
2025-10,blend_direct_0.75,25-48,turbine_2,687,0.15979199011526812,0.2391250044766181,-0.07111998026339877
2025-10,blend_medians_0.25,1-24,all,1374,0.1507714519650655,0.2267795863763294,-0.09953474648229015
2025-10,blend_medians_0.25,1-24,turbine_1,687,0.1504742600679282,0.22589716370713994,-0.09751829209121786
2025-10,blend_medians_0.25,1-24,turbine_2,687,0.1510686438622028,0.22765858873125724,-0.10155120087336247
2025-10,blend_medians_0.25,25-48,all,1374,0.16773902838427948,0.2471670969897268,-0.09272210092188259
2025-10,blend_medians_0.25,25-48,turbine_1,687,0.168146955361475,0.2472349466556021,-0.09059552401746726
2025-10,blend_medians_0.25,25-48,turbine_2,687,0.16733110140708396,0.24709922869337253,-0.09484867782629793
2025-10,blend_medians_0.5,1-24,all,1374,0.14653814895681708,0.22069642778669826,-0.0886833090732654
2025-10,blend_medians_0.5,1-24,turbine_1,687,0.1467046579330422,0.22046361625792718,-0.08707161572052402
2025-10,blend_medians_0.5,1-24,turbine_2,687,0.14637163998059194,0.22092899398244692,-0.0902950024260068
2025-10,blend_medians_0.5,25-48,all,1374,0.1641349344978166,0.24303927647923873,-0.08091965065502184
2025-10,blend_medians_0.5,25-48,turbine_1,687,0.16513248423095583,0.24378423815614195,-0.07923122270742358
2025-10,blend_medians_0.5,25-48,turbine_2,687,0.16313738476467737,0.24229202432134067,-0.0826080786026201
2025-10,blend_medians_0.75,1-24,all,1374,0.14295002426006792,0.21578673990490801,-0.07783187166424067
2025-10,blend_medians_0.75,1-24,turbine_1,687,0.14373017952450268,0.21614101463870994,-0.07662493934983018
2025-10,blend_medians_0.75,1-24,turbine_2,687,0.1421698689956332,0.21543188257202275,-0.07903880397865114
2025-10,blend_medians_0.75,25-48,all,1374,0.16126332484230954,0.24030633536773974,-0.06911720038816108
2025-10,blend_medians_0.75,25-48,turbine_1,687,0.16288305434255215,0.24164740029391507,-0.06786692139737992
2025-10,blend_medians_0.75,25-48,turbine_2,687,0.15964359534206696,0.2389577443125407,-0.07036747937894226
2025-10,curve,1-24,all,1374,0.15730262296751898,0.23634036900387087,-0.11410782132999887
2025-10,curve,1-24,turbine_1,687,0.15699176839006812,0.23515551214146443,-0.1123623184919363
2025-10,curve,1-24,turbine_2,687,0.1576134775449698,0.23751931532247486,-0.11585332416806145
2025-10,curve,25-48,all,1374,0.1732485342243112,0.2543635330291593,-0.10824310642850456
2025-10,curve,25-48,turbine_1,687,0.17332557640499094,0.25395486846966153,-0.10638693226920733
2025-10,curve,25-48,turbine_2,687,0.17317149204363141,0.2547715420738929,-0.11009928058780179
2025-10,dayahead_kernel,1-24,all,1374,0.14810561942764366,0.22160790428770263,-0.0822032895700414
2025-10,dayahead_kernel,1-24,turbine_1,687,0.1494726751730803,0.22247562558186584,-0.08251769180391005
2025-10,dayahead_kernel,1-24,turbine_2,687,0.14673856368220706,0.22073677198766084,-0.08188888733617276
2025-10,dayahead_kernel,25-48,all,1374,0.16493450365597292,0.24424998905641526,-0.07641992841899552
2025-10,dayahead_kernel,25-48,turbine_1,687,0.16638759749814128,0.24549928823052766,-0.0768443452452267
2025-10,dayahead_kernel,25-48,turbine_2,687,0.16348140981380455,0.24299426698262294,-0.07599551159276431
2025-10,direct_median,1-24,all,1374,0.14043545608927707,0.21213201653676972,-0.06698043425521591
2025-10,direct_median,1-24,turbine_1,687,0.14184395924308588,0.21299700682759787,-0.06617826297913634
2025-10,direct_median,1-24,turbine_2,687,0.1390269529354682,0.2112634846877162,-0.06778260553129548
2025-10,direct_median,25-48,all,1374,0.1594289180009704,0.23901612613648326,-0.05731475012130035
