model,n,mae,rmse
direct_median,9920,0.17925031249999998,0.26002552877592494
blend_direct_0.5,9920,0.18021936183222295,0.26056239706266104
kernel_blend_0.5,9920,0.18022246051562385,0.260843809737907
kernel_q0.6,9920,0.18488343978272404,0.25603882867780375
curve,9920,0.18636602725341714,0.2712289775231387
kernel_q0.4,9920,0.19027143506746502,0.27923899869946395
