fold,model,bucket,turbine,n,mae,rmse,bias
2025-12,curve,1-24,all,1474,0.21895832011704341,0.3065229747899066,-0.13194608745636718
2025-12,curve,1-24,turbine_1,740,0.2173281977663918,0.3041768050365631,-0.13300849396003397
2025-12,curve,1-24,turbine_2,734,0.22060176771851767,0.3088702830172954,-0.13087499643087203
2025-12,curve,25-48,all,1426,0.22843968639513165,0.32380011589936686,-0.1402964213909431
2025-12,curve,25-48,turbine_1,716,0.22775109152388234,0.32267788068017245,-0.14160913004174902
2025-12,curve,25-48,turbine_2,710,0.22913410037796908,0.32492790957646867,-0.13897261942759512
2025-12,extra_trees_live,1-24,all,1474,0.196420216808322,0.2615966223481301,0.01668302452242247
2025-12,extra_trees_live,1-24,turbine_1,740,0.1946727316857081,0.2597404629231167,0.0125969485185105
2025-12,extra_trees_live,1-24,turbine_2,734,0.19818198655046682,0.2634547167881114,0.020802501692578964
2025-12,extra_trees_live,25-48,all,1426,0.2154343071707347,0.2897147037959469,0.006406332523790582
2025-12,extra_trees_live,25-48,turbine_1,716,0.21442153115551243,0.2883601888556109,0.0025393509625676342
2025-12,extra_trees_live,25-48,turbine_2,710,0.21645564185650815,0.29107428204727126,0.01030599280243231
2025-12,extra_trees_weather,1-24,all,1474,0.19705577381787262,0.26936026400498464,0.01972637994415419
2025-12,extra_trees_weather,1-24,turbine_1,740,0.194962924877389,0.26713929984908913,0.015396516086654793
2025-12,extra_trees_weather,1-24,turbine_2,734,0.19916573051536304,0.27158099765319904,0.024091637784139967
2025-12,extra_trees_weather,25-48,all,1426,0.21651473793356332,0.2965850448831347,0.0079955078360193
2025-12,extra_trees_weather,25-48,turbine_1,716,0.21559861043626924,0.2960169201715341,0.003411272596407309
2025-12,extra_trees_weather,25-48,turbine_2,710,0.21743860735336967,0.2971568706639603,0.012618483091740674
2025-12,hist_mae_live,1-24,all,1474,0.19118349754568437,0.27370298701518225,0.008200571294698025
2025-12,hist_mae_live,1-24,turbine_1,740,0.1894510781300271,0.271398023525647,0.005597778892430708
2025-12,hist_mae_live,1-24,turbine_2,734,0.19293007842795465,0.2760073072188474,0.010824639929136471
2025-12,hist_mae_live,25-48,all,1426,0.20693973894202417,0.3021221429393201,-0.013369642877007192
2025-12,hist_mae_live,25-48,turbine_1,716,0.2066222423305004,0.3008658421761159,-0.016287209869569677
2025-12,hist_mae_live,25-48,turbine_2,710,0.20725991862350449,0.30338379195034826,-0.01042742038873292
2025-12,hist_mae_weather,1-24,all,1474,0.19233952996672912,0.2781036839631946,0.009526816003597546
2025-12,hist_mae_weather,1-24,turbine_1,740,0.19006847939213278,0.2763635637493131,0.004989846702041716
2025-12,hist_mae_weather,1-24,turbine_2,734,0.1946291449874393,0.27984707551147325,0.014100872247672907
2025-12,hist_mae_weather,25-48,all,1426,0.21098670962696217,0.3042487038565853,-0.006604973307848884
2025-12,hist_mae_weather,25-48,turbine_1,716,0.2101043678913891,0.30395969780120813,-0.011534016821281285
2025-12,hist_mae_weather,25-48,turbine_2,710,0.21187650777156833,0.30453987446581837,-0.001634275905570561
2025-12,hist_mse_live,1-24,all,1474,0.19739463965602655,0.2688755659206954,0.01175986309017811
2025-12,hist_mse_live,1-24,turbine_1,740,0.19561218246639048,0.26622003869286276,0.009888613761399533
2025-12,hist_mse_live,1-24,turbine_2,734,0.1991916673404009,0.27152651137836237,0.013646408734995742
2025-12,hist_mse_live,25-48,all,1426,0.21231327344787945,0.2906751592549967,-0.000980372578622879
2025-12,hist_mse_live,25-48,turbine_1,716,0.21013732330135668,0.2881538748875659,-0.0008591273407172596
2025-12,hist_mse_live,25-48,turbine_2,710,0.2145076119054996,0.2931957941347166,-0.001102642424172766
2025-12,hist_mse_weather,1-24,all,1474,0.1998259743250642,0.27135990690798584,0.02549286179778582
2025-12,hist_mse_weather,1-24,turbine_1,740,0.19789355507271802,0.26948150716627844,0.020172320985397584
2025-12,hist_mse_weather,1-24,turbine_2,734,0.20177418992007254,0.27324058985282673,0.030856894769403384
2025-12,hist_mse_weather,25-48,all,1426,0.22033383816002172,0.3000210654109125,0.013871798919686922
2025-12,hist_mse_weather,25-48,turbine_1,716,0.2198513078544279,0.2997633821995221,0.00842851851880455
2025-12,hist_mse_weather,25-48,turbine_2,710,0.22082044618650798,0.30028070228750203,0.01936107887325281
2025-12,knn_live,1-24,all,1474,0.20094110792753955,0.2631718117198996,-0.0016513668911038637
2025-12,knn_live,1-24,turbine_1,740,0.2003955322501516,0.26105422671596196,-0.005023639033650622
2025-12,knn_live,1-24,turbine_2,734,0.20149114335160911,0.26528959650336037,0.0017484715087389188
2025-12,knn_live,25-48,all,1426,0.21931293420354134,0.2935548315810372,-0.028921537628661242
