forecast_id,issued_at,valid_time,turbine_id,horizon_hours,power_normalized,weather_run_time,weather_available_at,model_version,input_hash,status,actual,wind_speed_100m,wind_direction_100m,wind_speed,measured_wind_oracle
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T19:00:00Z,turbine_1,25,0.517092748124209,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1383333333333333,8.04,69,5.5633333333333335,0.1788984959627525
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T20:00:00Z,turbine_1,26,0.5648384590710905,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1433333333333333,8.37,68,5.216666666666666,0.14829263271679788
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T21:00:00Z,turbine_1,27,0.5867805654518423,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1866666666666666,8.52,67,5.7316666666666665,0.19714006795915234
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T22:00:00Z,turbine_1,28,0.5547105809914492,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.13,8.3,65,5.151666666666666,0.14284577857427314
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-30T23:00:00Z,turbine_1,29,0.5604979398941013,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.0783333333333333,8.34,63,4.608333333333333,0.10367349081123489
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T00:00:00Z,turbine_1,30,0.5518169015401229,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.1116666666666666,8.28,62,5.031666666666666,0.13279004784961201
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T01:00:00Z,turbine_1,31,0.5532637412657859,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.145,8.29,60,5.27,0.15276184637220283
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T02:00:00Z,turbine_1,32,0.5691789782480798,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.48,8.4,60,7.44,0.43050588561867825
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T03:00:00Z,turbine_1,33,0.6369116046059518,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.5016666666666666,8.84,61,7.671666666666667,0.4645309579881988
20260129T1900Z-d084fc8bf9bf,2026-01-29T19:00:00Z,2026-01-31T04:00:00Z,turbine_1,34,0.695652983411997,2026-01-29T00:00:00Z,2026-01-29T08:00:00Z,validation-be2706022497:curve,d084fc8bf9bfc1093f0610660e4396c564c9377fd71115f3548fe31e916a6065,degraded,0.5216666666666666,9.24,56,7.661666666666666,0.4631063560217005
