model,turbine_id,horizon_bucket,mae,rmse,n_samples,period_start,period_end
catboost,turbine_1,1-24,0.2002708365027037,0.2472232400168887,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
catboost,turbine_1,25-48,0.2140708975245772,0.2614645655224128,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
catboost,turbine_2,1-24,0.2038030580716275,0.2509591714552762,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
catboost,turbine_2,25-48,0.2172396787349601,0.2647977486432275,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
curve,turbine_1,1-24,0.157040768558271,0.2359656530786672,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
curve,turbine_1,25-48,0.1755344856937001,0.2543692388179128,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
curve,turbine_2,1-24,0.1586556322022353,0.2390810433536378,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
curve,turbine_2,25-48,0.1769361488960508,0.2567750302090792,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
mean,turbine_1,1-24,0.3023152584391699,0.3421581288788884,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
mean,turbine_1,25-48,0.300835623507418,0.3409075868343519,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
mean,turbine_2,1-24,0.3037133496144419,0.3425072713101013,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
mean,turbine_2,25-48,0.3023567934615147,0.3414027359101838,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
persistence,turbine_1,1-24,0.3106339605734767,0.4451110410437155,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
persistence,turbine_1,25-48,0.3605115740740741,0.4719873885046161,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
persistence,turbine_2,1-24,0.3109677419354839,0.4465655478543614,744,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
persistence,turbine_2,25-48,0.3553634259259259,0.4666640335573863,720,2025-12-31T19:00:00Z,2026-01-31T19:00:00Z
