fold,model,bucket,turbine,n,mae,rmse,bias
2025-12,analog,1-24,all,1474,0.19785786974219813,0.29889185427346915,0.013508028041610123
2025-12,analog,1-24,turbine_1,740,0.19686936936936938,0.296330077176853,0.015259009009009
2025-12,analog,1-24,turbine_2,734,0.1988544504995459,0.3014525352015017,0.011742733878292461
2025-12,analog,25-48,all,1426,0.2166526414212249,0.3217615229289004,-0.00024427302477793815
2025-12,analog,25-48,turbine_1,716,0.21655377094972067,0.32154122882254554,0.0014257448789571677
2025-12,analog,25-48,turbine_2,710,0.21675234741784036,0.3219835260392814,-0.001928403755868547
2025-12,curve,1-24,all,1474,0.21895832011704341,0.3065229747899066,-0.13194608745636718
2025-12,curve,1-24,turbine_1,740,0.2173281977663918,0.3041768050365631,-0.13300849396003397
2025-12,curve,1-24,turbine_2,734,0.22060176771851767,0.3088702830172954,-0.13087499643087203
2025-12,curve,25-48,all,1426,0.22843968639513165,0.32380011589936686,-0.1402964213909431
2025-12,curve,25-48,turbine_1,716,0.22775109152388234,0.32267788068017245,-0.14160913004174902
2025-12,curve,25-48,turbine_2,710,0.22913410037796908,0.32492790957646867,-0.13897261942759512
2025-12,direct_mae4,1-24,all,1474,0.1925693692539912,0.2828676535131729,-0.03745570618247286
2025-12,direct_mae4,1-24,turbine_1,740,0.1914156527522456,0.281151118569312,-0.042292840263003596
2025-12,direct_mae4,1-24,turbine_2,734,0.19373251668081926,0.28458773942819876,-0.0325790314963792
2025-12,direct_mae4,25-48,all,1426,0.213984107984539,0.31002370379326294,-0.05432028411391859
2025-12,direct_mae4,25-48,turbine_1,716,0.21425769174996953,0.3099602183103925,-0.059323412505900064
2025-12,direct_mae4,25-48,turbine_2,710,0.21370821224362607,0.31008771261031526,-0.049274875763695034
2025-12,direct_mae6,1-24,all,1474,0.19304548664806964,0.27967533642620457,-0.04651669105375778
2025-12,direct_mae6,1-24,turbine_1,740,0.19215947452383653,0.27817355870053495,-0.05080693299407935
2025-12,direct_mae6,1-24,turbine_2,734,0.19393874137822298,0.2811812708302744,-0.04219137901583139
2025-12,direct_mae6,25-48,all,1426,0.21573868193343818,0.30833448838439353,-0.06303868110714873
2025-12,direct_mae6,25-48,turbine_1,716,0.21623806548905106,0.30844039497068676,-0.06744830651535653
2025-12,direct_mae6,25-48,turbine_2,710,0.2152350782351018,0.30822764996093943,-0.05859179125887156
2025-12,physical_mae4,1-24,all,1474,0.1918505135999592,0.28095718747001686,0.00045288457186300863
2025-12,physical_mae4,1-24,turbine_1,740,0.18948643110863664,0.27900317955875054,-0.004104995903219374
2025-12,physical_mae4,1-24,turbine_2,734,0.1942339210162789,0.2829135067870413,0.005048022925488299
2025-12,physical_mae4,25-48,all,1426,0.21291415341144979,0.30703016170758185,-0.013331478320351205
2025-12,physical_mae4,25-48,turbine_1,716,0.21207997184053964,0.30656985756731575,-0.018045561522868476
2025-12,physical_mae4,25-48,turbine_2,710,0.21375538440408592,0.3074936579291427,-0.008577557794995756
2025-12,physical_mae6,1-24,all,1474,0.1900438459812301,0.2776819218959005,0.00501698532429073
2025-12,physical_mae6,1-24,turbine_1,740,0.18802155901501472,0.27566153811250366,0.0009664689095743557
2025-12,physical_mae6,1-24,turbine_2,734,0.1920826639035726,0.27970404821695355,0.009100612227410787
2025-12,physical_mae6,25-48,all,1426,0.21167223879086972,0.3056786556730486,-0.0036793989361729603
2025-12,physical_mae6,25-48,turbine_1,716,0.2108528813533335,0.3051631720853505,-0.0078987866927555
2025-12,physical_mae6,25-48,turbine_2,710,0.21249852037576547,0.3061976166134112,0.0005756456183525331
2025-12,sector_bias,1-24,all,1474,0.20344715546335948,0.28463695992432114,-0.0497518203329634
2025-12,sector_bias,1-24,turbine_1,740,0.20170858005427525,0.2820833327620712,-0.053104094489930094
2025-12,sector_bias,1-24,turbine_2,734,0.20519994266052885,0.287188476784566,-0.046372143389972455
2025-12,sector_bias,25-48,all,1426,0.2141914318056119,0.3047567226949704,-0.05991552583247515
2025-12,sector_bias,25-48,turbine_1,716,0.21348534056567706,0.30398103606382143,-0.06335229241016221
2025-12,sector_bias,25-48,turbine_2,710,0.21490349001377154,0.3055369701115828,-0.05644971615694848
2025-12,wind_mae4,1-24,all,1474,0.18659975917203897,0.2772829168601872,-0.008158636415481441
2025-12,wind_mae4,1-24,turbine_1,740,0.18523406542906998,0.2754651941951876,-0.010155245626891744
